# t_s, edges, edges_per_s, motor_rpm, rotor_rpm
449.087,56,1118.8,16782,2098
449.138,56,1117.7,16765,2096
449.188,55,1095.0,16425,2053
449.238,56,1118.6,16779,2097
449.288,56,1119.9,16799,2100
449.338,56,1117.1,16756,2095
449.388,55,1099.6,16494,2062
449.438,56,1117.5,16762,2095
449.488,56,1115.4,16731,2091
449.538,56,1119.0,16785,2098
449.589,55,1096.6,16449,2056
449.639,56,1117.6,16765,2096
449.689,56,1117.9,16769,2096
449.739,56,1119.9,16798,2100
449.789,55,1095.8,16437,2055
449.839,56,1116.6,16749,2094
449.889,56,1119.2,16788,2098
449.939,56,1119.0,16785,2098
449.989,55,1097.0,16454,2057
450.039,56,1117.9,16769,2096
450.089,56,1119.6,16794,2099
450.140,56,1114.1,16712,2089
450.190,55,1099.1,16487,2061
450.240,56,1119.8,16798,2100
450.290,55,1099.8,16496,2062
450.340,56,1118.5,16778,2097
450.390,56,1117.0,16756,2094
450.440,56,1116.1,16742,2093
450.490,55,1098.2,16472,2059
450.540,56,1116.3,16745,2093
450.591,56,1117.2,16758,2095
450.641,55,1098.4,16476,2059
450.691,56,1119.4,16791,2099
450.741,56,1119.6,16794,2099
450.791,55,1098.7,16480,2060
450.841,56,1116.4,16747,2093
450.891,56,1118.1,16771,2096
450.941,56,1118.7,16781,2098
450.991,55,1095.4,16431,2054
451.041,56,1116.4,16746,2093
451.091,56,1119.5,16793,2099
451.142,55,1097.3,16459,2057
451.192,56,1117.6,16764,2096
451.242,56,1115.1,16726,2091
451.292,56,1118.8,16782,2098
451.342,55,1098.7,16480,2060
451.392,56,1119.6,16795,2099
451.442,56,1116.2,16743,2093
451.492,55,1095.8,16437,2055
451.542,56,1118.9,16783,2098
451.593,56,1117.1,16757,2095
451.643,56,1115.8,16738,2092
451.693,55,1098.8,16481,2060
451.743,56,1118.4,16776,2097
451.793,56,1117.2,16758,2095
451.843,55,1096.1,16442,2055
451.893,56,1117.0,16756,2094
451.943,56,1117.6,16764,2095
451.993,55,1099.0,16485,2061
452.043,56,1118.1,16772,2096
452.094,55,1098.1,16472,2059
452.144,56,1116.3,16745,2093
452.194,56,1119.8,16797,2100
